accession,description,project,species,taxid,tissue,BTO,mods,spectra,proteins,peptides,MS2,MS1,enzyme
925,Protein complexes in Saccharomyces cerevisiae (GPM06600002220),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,8,13,0,0,Trypsin
926,Protein complexes in Saccharomyces cerevisiae (GPM06600002221),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,18,68,0,0,Trypsin
927,Protein complexes in Saccharomyces cerevisiae (GPM06600002222),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,34,0,0,Trypsin
928,Protein complexes in Saccharomyces cerevisiae (GPM06600002223),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,48,0,0,Trypsin
929,Protein complexes in Saccharomyces cerevisiae (GPM06600002224),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,11,64,0,0,Trypsin
930,Protein complexes in Saccharomyces cerevisiae (GPM06600002225),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,11,0,0,Trypsin
931,Protein complexes in Saccharomyces cerevisiae (GPM06600002226),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,11,26,0,0,Trypsin
932,Protein complexes in Saccharomyces cerevisiae (GPM06600002227),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,29,0,0,Trypsin
933,Protein complexes in Saccharomyces cerevisiae (GPM06600002228),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,26,0,0,Trypsin
934,Protein complexes in Saccharomyces cerevisiae (GPM06600002229),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,25,0,0,Trypsin
935,Protein complexes in Saccharomyces cerevisiae (GPM06600002230),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,48,0,0,Trypsin
936,Protein complexes in Saccharomyces cerevisiae (GPM06600002231),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,8,31,0,0,Trypsin
937,Protein complexes in Saccharomyces cerevisiae (GPM06600002232),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,7,43,0,0,Trypsin
938,Protein complexes in Saccharomyces cerevisiae (GPM06600002233),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,45,0,0,Trypsin
939,Protein complexes in Saccharomyces cerevisiae (GPM06600002234),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,54,0,0,Trypsin
940,Protein complexes in Saccharomyces cerevisiae (GPM06600002235),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,7,20,0,0,Trypsin
941,Protein complexes in Saccharomyces cerevisiae (GPM06600002236),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,51,0,0,Trypsin
942,Protein complexes in Saccharomyces cerevisiae (GPM06600002237),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,3,5,0,0,Trypsin
943,Protein complexes in Saccharomyces cerevisiae (GPM06600002238),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,1,12,0,0,Trypsin
944,Protein complexes in Saccharomyces cerevisiae (GPM06600002239),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,21,0,0,Trypsin
945,Protein complexes in Saccharomyces cerevisiae (GPM06600002240),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,6,14,0,0,Trypsin
946,Protein complexes in Saccharomyces cerevisiae (GPM06600002241),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,3,10,0,0,Trypsin
947,Protein complexes in Saccharomyces cerevisiae (GPM06600002242),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,3,11,0,0,Trypsin
948,Protein complexes in Saccharomyces cerevisiae (GPM06600002243),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,6,11,0,0,Trypsin
949,Protein complexes in Saccharomyces cerevisiae (GPM06600002244),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,33,0,0,Trypsin
950,Protein complexes in Saccharomyces cerevisiae (GPM06600002245),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,34,0,0,Trypsin
951,Protein complexes in Saccharomyces cerevisiae (GPM06600002246),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,15,41,0,0,Trypsin
952,Protein complexes in Saccharomyces cerevisiae (GPM06600002247),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,11,31,0,0,Trypsin
953,Protein complexes in Saccharomyces cerevisiae (GPM06600002248),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,8,55,0,0,Trypsin
954,Protein complexes in Saccharomyces cerevisiae (GPM06600002249),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,15,66,0,0,Trypsin
955,Protein complexes in Saccharomyces cerevisiae (GPM06600002250),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,15,69,0,0,Trypsin
956,Protein complexes in Saccharomyces cerevisiae (GPM06600002251),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,10,55,0,0,Trypsin
957,Protein complexes in Saccharomyces cerevisiae (GPM06600002252),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,6,44,0,0,Trypsin
958,Protein complexes in Saccharomyces cerevisiae (GPM06600002253),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,51,0,0,Trypsin
959,Protein complexes in Saccharomyces cerevisiae (GPM06600002254),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,6,39,0,0,Trypsin
960,Protein complexes in Saccharomyces cerevisiae (GPM06600002255),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,10,37,0,0,Trypsin
961,Protein complexes in Saccharomyces cerevisiae (GPM06600002256),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,16,0,0,Trypsin
962,Protein complexes in Saccharomyces cerevisiae (GPM06600002257),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,3,9,0,0,Trypsin
963,Protein complexes in Saccharomyces cerevisiae (GPM06600002258),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,14,0,0,Trypsin
964,Protein complexes in Saccharomyces cerevisiae (GPM06600002259),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,24,0,0,Trypsin
965,Protein complexes in Saccharomyces cerevisiae (GPM06600002260),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,28,0,0,Trypsin
966,Protein complexes in Saccharomyces cerevisiae (GPM06600002261),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,7,22,0,0,Trypsin
967,Protein complexes in Saccharomyces cerevisiae (GPM06600002262),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,3,21,0,0,Trypsin
968,Protein complexes in Saccharomyces cerevisiae (GPM06600002263),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,25,0,0,Trypsin
969,Protein complexes in Saccharomyces cerevisiae (GPM06600002264),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,20,0,0,Trypsin
970,Protein complexes in Saccharomyces cerevisiae (GPM06600002265),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,14,0,0,Trypsin
971,Protein complexes in Saccharomyces cerevisiae (GPM06600002266),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,6,21,0,0,Trypsin
972,Protein complexes in Saccharomyces cerevisiae (GPM06600002267),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,2,7,0,0,Trypsin
973,Protein complexes in Saccharomyces cerevisiae (GPM06600002268),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,16,0,0,Trypsin
974,Protein complexes in Saccharomyces cerevisiae (GPM06600002269),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,7,0,0,Trypsin
975,Protein complexes in Saccharomyces cerevisiae (GPM06600002270),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,5,0,0,Trypsin
976,Protein complexes in Saccharomyces cerevisiae (GPM06600002271),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,11,21,0,0,Trypsin
977,Protein complexes in Saccharomyces cerevisiae (GPM06600002272),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,13,0,0,Trypsin
978,Protein complexes in Saccharomyces cerevisiae (GPM06600002273),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,8,21,0,0,Trypsin
979,Protein complexes in Saccharomyces cerevisiae (GPM06600002274),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,7,0,0,Trypsin
980,Protein complexes in Saccharomyces cerevisiae (GPM06600002275),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,1,1,0,0,Trypsin
981,Protein complexes in Saccharomyces cerevisiae (GPM06600002276),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,7,10,0,0,Trypsin
982,Protein complexes in Saccharomyces cerevisiae (GPM06600002277),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,3,6,0,0,Trypsin
983,Protein complexes in Saccharomyces cerevisiae (GPM06600002278),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,1,5,0,0,Trypsin
984,Protein complexes in Saccharomyces cerevisiae (GPM06600002279),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,2,15,0,0,Trypsin
985,Protein complexes in Saccharomyces cerevisiae (GPM06600002280),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,2,21,0,0,Trypsin
986,Protein complexes in Saccharomyces cerevisiae (GPM06600002281),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,35,0,0,Trypsin
987,Protein complexes in Saccharomyces cerevisiae (GPM06600002282),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,3,20,0,0,Trypsin
988,Protein complexes in Saccharomyces cerevisiae (GPM06600002283),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,20,0,0,Trypsin
989,Protein complexes in Saccharomyces cerevisiae (GPM06600002284),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,6,29,0,0,Trypsin
990,Protein complexes in Saccharomyces cerevisiae (GPM06600002285),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,11,55,0,0,Trypsin
991,Protein complexes in Saccharomyces cerevisiae (GPM06600002286),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,7,13,0,0,Trypsin
992,Protein complexes in Saccharomyces cerevisiae (GPM06600002287),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,6,19,0,0,Trypsin
993,Protein complexes in Saccharomyces cerevisiae (GPM06600002288),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,8,31,0,0,Trypsin
994,Protein complexes in Saccharomyces cerevisiae (GPM06600002289),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,10,17,0,0,Trypsin
995,Protein complexes in Saccharomyces cerevisiae (GPM06600002290),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,36,0,0,Trypsin
996,Protein complexes in Saccharomyces cerevisiae (GPM06600002291),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,2,5,0,0,Trypsin
997,Protein complexes in Saccharomyces cerevisiae (GPM06600002292),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,50,0,0,Trypsin
998,Protein complexes in Saccharomyces cerevisiae (GPM06600002293),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,10,16,0,0,Trypsin
999,Protein complexes in Saccharomyces cerevisiae (GPM06600002294),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,3,6,0,0,Trypsin
1000,Protein complexes in Saccharomyces cerevisiae (GPM06600002295),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,2,10,0,0,Trypsin
1001,Protein complexes in Saccharomyces cerevisiae (GPM06600002296),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,8,29,0,0,Trypsin
1002,Protein complexes in Saccharomyces cerevisiae (GPM06600002297),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,41,0,0,Trypsin
1003,Protein complexes in Saccharomyces cerevisiae (GPM06600002298),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,10,24,0,0,Trypsin
1004,Protein complexes in Saccharomyces cerevisiae (GPM06600002299),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,7,44,0,0,Trypsin
1005,Protein complexes in Saccharomyces cerevisiae (GPM06600002300),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,10,29,0,0,Trypsin
1006,Protein complexes in Saccharomyces cerevisiae (GPM06600002301),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,16,0,0,Trypsin
1007,Protein complexes in Saccharomyces cerevisiae (GPM06600002302),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,6,27,0,0,Trypsin
1008,Protein complexes in Saccharomyces cerevisiae (GPM06600002303),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,6,15,0,0,Trypsin
1009,Protein complexes in Saccharomyces cerevisiae (GPM06600002304),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,22,0,0,Trypsin
1010,Protein complexes in Saccharomyces cerevisiae (GPM06600002305),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,7,18,0,0,Trypsin
1011,Protein complexes in Saccharomyces cerevisiae (GPM06600002306),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,13,24,0,0,Trypsin
1012,Protein complexes in Saccharomyces cerevisiae (GPM06600002307),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,8,12,0,0,Trypsin
1013,Protein complexes in Saccharomyces cerevisiae (GPM06600002308),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,8,13,0,0,Trypsin
1014,Protein complexes in Saccharomyces cerevisiae (GPM06600002309),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,3,14,0,0,Trypsin
1015,Protein complexes in Saccharomyces cerevisiae (GPM06600002310),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,2,4,0,0,Trypsin
1016,Protein complexes in Saccharomyces cerevisiae (GPM06600002311),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,15,80,0,0,Trypsin
1017,Protein complexes in Saccharomyces cerevisiae (GPM06600002312),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,22,83,0,0,Trypsin
1018,Protein complexes in Saccharomyces cerevisiae (GPM06600002313),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,22,88,0,0,Trypsin
1019,Protein complexes in Saccharomyces cerevisiae (GPM06600002314),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,13,0,0,Trypsin
1020,Protein complexes in Saccharomyces cerevisiae (GPM06600002315),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,7,21,0,0,Trypsin
1021,Protein complexes in Saccharomyces cerevisiae (GPM06600002316),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,33,0,0,Trypsin
1022,Protein complexes in Saccharomyces cerevisiae (GPM06600002317),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,28,0,0,Trypsin
1023,Protein complexes in Saccharomyces cerevisiae (GPM06600002318),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,13,26,0,0,Trypsin
1024,Protein complexes in Saccharomyces cerevisiae (GPM06600002319),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,6,14,0,0,Trypsin
1025,Protein complexes in Saccharomyces cerevisiae (GPM06600002320),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,54,0,0,Trypsin
1026,Protein complexes in Saccharomyces cerevisiae (GPM06600002321),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,42,0,0,Trypsin
1027,Protein complexes in Saccharomyces cerevisiae (GPM06600002322),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,6,15,0,0,Trypsin
1028,Protein complexes in Saccharomyces cerevisiae (GPM06600002323),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,9,29,0,0,Trypsin
1029,Protein complexes in Saccharomyces cerevisiae (GPM06600002324),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,8,24,0,0,Trypsin
1030,Protein complexes in Saccharomyces cerevisiae (GPM06600002325),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,7,25,0,0,Trypsin
1031,Protein complexes in Saccharomyces cerevisiae (GPM06600002326),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,14,66,0,0,Trypsin
1032,Protein complexes in Saccharomyces cerevisiae (GPM06600002327),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,10,33,0,0,Trypsin
1033,Protein complexes in Saccharomyces cerevisiae (GPM06600002328),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,9,0,0,Trypsin
1034,Protein complexes in Saccharomyces cerevisiae (GPM06600002329),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,10,36,0,0,Trypsin
1035,Protein complexes in Saccharomyces cerevisiae (GPM06600002330),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,8,32,0,0,Trypsin
1036,Protein complexes in Saccharomyces cerevisiae (GPM06600002331),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,4,14,0,0,Trypsin
1037,Protein complexes in Saccharomyces cerevisiae (GPM06600002332),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,14,45,0,0,Trypsin
1038,Protein complexes in Saccharomyces cerevisiae (GPM06600002333),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,12,66,0,0,Trypsin
1039,Protein complexes in Saccharomyces cerevisiae (GPM06600002334),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,11,45,0,0,Trypsin
1040,Protein complexes in Saccharomyces cerevisiae (GPM06600002335),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,19,72,0,0,Trypsin
1041,Protein complexes in Saccharomyces cerevisiae (GPM06600002336),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,11,58,0,0,Trypsin
1042,Protein complexes in Saccharomyces cerevisiae (GPM06600002337),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,15,70,0,0,Trypsin
1043,Protein complexes in Saccharomyces cerevisiae (GPM06600002338),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,8,45,0,0,Trypsin
1044,Protein complexes in Saccharomyces cerevisiae (GPM06600002339),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,7,36,0,0,Trypsin
1045,Protein complexes in Saccharomyces cerevisiae (GPM06600002340),GPMDB Submission: Protein complexes in Saccharomyces cerevisiae,Saccharomyces cerevisiae (Baker's yeast),4932, N/A, N/A, N/A,0,5,23,0,0,Trypsin
